# timestamp tx ty tz qx qy qz qw
1403636620.763555765 0.000000 0.000000 0.000000 0.045051 0.793618 0.000000 0.606746
1403636620.813555479 -0.000028 0.000078 -0.000067 0.045050 0.793605 -0.000092 0.606764
1403636620.863555670 -0.000019 0.000203 -0.000117 0.045055 0.793606 -0.000075 0.606761
1403636620.913555622 -0.000053 0.000275 -0.000166 0.045096 0.793603 -0.000125 0.606763
1403636620.963555574 -0.000151 0.000351 -0.000223 0.045115 0.793632 -0.000089 0.606723
1403636621.013555527 -0.000273 0.000409 -0.000319 0.045106 0.793685 -0.000107 0.606654
1403636621.063555717 -0.000441 0.000543 -0.000375 0.044818 0.793631 0.000352 0.606746
1403636621.113555431 -0.000605 0.000281 -0.000475 0.045069 0.793653 -0.000204 0.606699
1403636621.163555622 -0.000885 0.000240 -0.000614 0.044724 0.793660 0.000237 0.606716
1403636621.213555574 -0.001242 0.000032 -0.000787 0.044997 0.793594 -0.000099 0.606782
1403636621.263555765 -0.001654 0.000016 -0.000964 0.044792 0.793665 0.000233 0.606703
1403636621.313555479 -0.002162 -0.000132 -0.001161 0.045005 0.793672 -0.000091 0.606679
1403636621.363555670 -0.002662 -0.000091 -0.001338 0.044845 0.793658 0.000154 0.606709
1403636621.413555622 -0.003092 -0.000213 -0.001624 0.045061 0.793694 -0.000176 0.606647
1403636621.463555574 -0.003498 -0.000144 -0.001848 0.044875 0.793658 0.000125 0.606707
1403636621.513555527 -0.003880 -0.000150 -0.002110 0.044989 0.793698 -0.000070 0.606647
1403636621.563555717 -0.004260 0.000010 -0.002397 0.044836 0.793707 0.000155 0.606645
1403636621.613555431 -0.004687 0.000053 -0.002655 0.045020 0.793716 -0.000059 0.606621
1403636621.663555622 -0.005173 0.000221 -0.002873 0.044887 0.793728 0.000164 0.606615
1403636621.713555574 -0.005679 0.000303 -0.003173 0.044976 0.793738 -0.000073 0.606595
1403636621.763555765 -0.006201 0.000483 -0.003502 0.044879 0.793734 0.000040 0.606607
1403636621.813555479 -0.006687 0.000610 -0.003875 0.044942 0.793718 -0.000022 0.606624
1403636621.863555670 -0.007199 0.000786 -0.004331 0.044898 0.793771 0.000055 0.606558
1403636621.913555622 -0.007750 0.000949 -0.004809 0.044972 0.793794 -0.000013 0.606522
1403636621.963555574 -0.008297 0.001156 -0.005282 0.044978 0.793750 -0.000071 0.606579
1403636622.013555527 -0.008821 0.001388 -0.005778 0.044968 0.793793 0.000095 0.606524
1403636622.063555717 -0.009343 0.001512 -0.006283 0.044994 0.793762 0.000006 0.606562
1403636622.113555431 -0.009883 0.001700 -0.006836 0.045006 0.793808 0.000036 0.606500
1403636622.163555622 -0.010483 0.001832 -0.007393 0.044963 0.793808 0.000030 0.606504
